,id,stateId,countyId,cityId,country,datePostedString,is_bankOwned,is_forAuction,event,time,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,longitude,latitude,hasBadGeocode,description,currency,livingArea,livingAreaValue,lotAreaUnits,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,hasPetsAllowed,homeType,county
0,95717-2087851113,9,77,24895,USA,2021-01-13,0,0,Listed for sale,1610496000000.0,145000.0,0.0,Gold Run,CA,0,0 Moody Ridge Rd,95717.0,-120.83447265625,39.16786575317383,0,Amazing opportunity to build your dream home On almost 10 acres. Grading has been completed for your buildWell is in place private drivewayEasy access to I-80 Enjoy the views.,USD,0.0,0.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Placer County
1,94564-18496265,9,189,36958,USA,2021-07-12,0,0,Listed for sale,1626048000000.0,675000.0,404.0,Pinole,CA,1958,1476 Belden Ct,94564.0,-122.30061340332031,38.00121307373047,0,"""Great house in a wonderful neighborhood! Walking into this house you will feel the comfort and open concept that makes it both a great home to entertain in as well as relax and enjoy family. The home is clean and ready for your creative choices to make it your own. With an enclosed patio which serves as a beautiful rumpus/entertainment room you can play or enjoy your favorite hobbies. 3 nice size bedrooms and 2 baths located at the back of the house give you good separation. The backyard is just the right size to have fun entertain or just sit and enjoy a beautiful day in Pinole. You certainly wont get tired of the fantastic view of San Pablo Bay from the privacy of your backyard. All of this is just minutes from the freeway and shopping. It is a fantastic spot to call home!""",USD,1671.0,1671.0,sqft,2.0,3.0,1671.0,1,2.0,1,One Story,0,0,0,0,SINGLE_FAMILY,Contra Costa County
2,94564-18484475,9,190,36958,USA,2021-07-08,0,0,Listed for sale,1625702400000.0,649000.0,459.0,Pinole,CA,1959,3540 Savage Ave,94564.0,-122.2713623046875,37.98204040527344,0,"""Light-filled mid-century 3 BR 2 BA home in the heart of Pinole Valley. Beautiful refinished hardwood floors thruout (except kitchen & family rm). Popcorn ceiling removed new interior paint thruout. Cedar floors in all closets. Eat-in kitchen. Family has owned since 1963. Family rm added around mid-1960s features a wall of hand-hewn paving stones from the streets of SF dating back to 1800’s. Each stone lovingly hand selected by owner was installed by a master stone mason. Wood-burning fireplace in living rm. & wood-burning stove in family rm. Situated on over 1/4 acre of land the back yard is serene w/mature trees & a large section of land in the back for garden or build a studio. Plenty of room for play entertaining & garden oasis. A sense of wooded privacy in the midst of the city. Generous size 2-car garage w/built-in shelves & new overhead door. New water heater. Convenient location close to parks schools Trader Joe’s Sprouts dining Kaiser Med Ctr & EZ fwy access.""",USD,1414.0,1414.0,Acres,2.0,3.0,1414.0,1,2.0,1,One Story,0,0,0,0,SINGLE_FAMILY,Contra Costa County
3,94564-18494835,9,191,36958,USA,2021-07-07,0,0,Listed for sale,1625616000000.0,599000.0,448.0,Pinole,CA,1908,2391 Plum St,94564.0,-122.28923034667969,38.00439453125,0,The cutest house in the historic district of Pinole is finally for sale! This exquisite gem from 1908 has been lovingly cared for and awaits its new owner(s). Gleaming hardwood floors high ceilings an abundance of natural light crown molding and beautiful chandeliers accent a spacious formal living room dining room and two bedrooms upstairs. The lower level with its separate entrance and kitchen can be used as an in-law unit rental or bonus/flex space (home office gym arts and crafts etc ...). The backyard is an oasis of peace and tranquility perfect for entertaining gardening or relaxing in the newly created sitting area or enclosed hot tub. Ideally located just two minutes to the freeway for an easy commute the San Francisco Bay Trail for hiking and biking and one block to locally owned coffee shops and restaurants. This is truly a must see!!,USD,1336.0,1336.0,sqft,2.0,3.0,1336.0,1,1.0,1,Two Story,0,1,0,0,SINGLE_FAMILY,Contra Costa County
4,94564-2069722747,9,192,36958,USA,2021-07-07,0,0,Listed for sale,1625616000000.0,299000.0,0.0,Pinole,CA,0,2693 Appian Way,94564.0,-122.2984390258789,37.98630905151367,0,MIXED USE ZOING BUYER TO VERIFY WITH CITY OF PINOLE. GREAT LOCATION TO BUILD A COMMERCIAL IN THE FRONT AND RESIDENTIAL IN THE BACK. EASY FREEWAY ACCESS.,USD,0.0,0.0,Acres,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,LOT,Contra Costa County
5,94564-18484390,9,193,36958,USA,2021-07-06,0,0,Listed for sale,1625529600000.0,575000.0,407.0,Pinole,CA,1958,2611 Doidge Ave,94564.0,-122.25725555419922,37.98237609863281,0,Great opportunity! All original single story home built in 1958. This home has three bedrooms one and half bathrooms galley style kitchen dining area a cozy family room and a large additional family/bonus room for extra space! It is situated on a nice sized lot with an attached two car garage back patio and large flat backyard. This is a must see with an ideal layout and endless updating potential.,USD,1413.0,1413.0,sqft,2.0,3.0,1413.0,1,2.0,1,One Story,0,0,0,0,SINGLE_FAMILY,Contra Costa County
6,94564-50919342,9,194,36958,USA,2021-07-05,0,0,Listed for sale,1625443200000.0,888000.0,390.0,Pinole,CA,2000,645 Carlotta Cir,94564.0,-122.3093032836914,38.00816345214844,0,Beautiful spacious move-in ready 5 bedroom 2.5 bath home near the Pinole shoreline. Entertain your guests in the open-kitchen living area with large island. Enjoy evenings outside in well-kept backyard. Over 2200 square feet enough for large families with convenient upstairs laundry. Exquisite hardwood floors and plush carpeting featured throughout this gem. Reap the benefit of a private gate to the magnificent walking trail along the San Pablo Bay Trail.,USD,2278.0,2278.0,sqft,3.0,5.0,2278.0,1,2.0,1,Two Story,0,0,0,0,SINGLE_FAMILY,Contra Costa County
7,94564-18496644,9,195,36958,USA,2021-07-05,0,0,Listed for sale,1625443200000.0,315000.0,381.0,Pinole,CA,1988,418 Blackberry Ln,94564.0,-122.31275939941406,38.00745010375977,0,Fantastic Pinole Shores 1 bedroom 1 bathroom end unit. This desirable condo has soaring vaulted ceilings and features in unit laundry a wood burning fireplace and beautiful laminate flooring throughout the living/dining and bedroom. Open both sliding glass doors and enjoy that incredible bay breeze. Large rear patio overlooks the community tennis court clubhouse beautiful landscape and trees. Attached 1 car garage with driveway parking plus 1 additional reserved parking space.  Excellent location! Short walk to the San Francisco Bay trail and minutes from historic downtown Pinole shopping restaurants commute access and more. Perfect starter home or investment property with low HOA fee.,USD,826.0,826.0,sqft,1.0,1.0,826.0,1,1.0,1,One Story,0,0,0,0,CONDO,Contra Costa County
8,94564-18498960,9,196,36958,USA,2021-06-08,0,0,Listed for sale,1623110400000.0,399000.0,401.0,Pinole,CA,1991,304 Dursey Dr,94564.0,-122.3160171508789,38.000709533691406,0,Welcome home to a truly beautiful and tranquil setting. Willowbrook Community offers you the feeling of serene county living yet so close to everything. A commuters dream. This Bright and Sunny 2 Bedroom 2 Bath condo shows like a model home. Upgrades include Nest thermostat New quartz countertops Bosch 800 series dishwasher Kitchen Aid french door counter depth refrigerator large capacity washer/dryer Benjamin Moore paint vaulted ceilings laminate floors and a wood burning fireplace. Primary bedroom suite ~ with large bay windows overlook lush trees. Glass door from primary bedroom leads to private balcony for sipping morning coffee. Great lay out with the guest bedroom and bath away from master Suite. Detached 1 Car garage with automatic door opener plus permit parking. Willowbrook Community boasts a large pool spa clubhouse fitness community room with kitchen and fireplace. Close to highways shopping centers bart and restaurants. Dont miss out. This could be yours.,USD,996.0,996.0,sqft,2.0,2.0,996.0,1,1.0,1,One Story,0,1,0,0,CONDO,Contra Costa County
9,94564-18485494,9,197,36958,USA,2021-06-02,0,0,Listed for sale,1622592000000.0,998000.0,394.0,Pinole,CA,1972,3258 Colusa St,94564.0,-122.27799987792969,37.9872932434082,0,Views and a serene setting. Tastefully remodeled 5 bedrooms plus a bonus room on a beautiful street in the Pinole Hills. Best floor plan with a large great room and vaulted ceiling. Remodeled kitchen with granite counters and stainless appliances plus a dining room looking out over the manicured fenced yard. 2 master suites! One on the first floor with a slider to the rear yard as well as one upstairs with a walk in closet fireplace and fantastic large bathroom. Panoramic views from the yard and upstairs balcony. So many upgrades including fresh exterior paint dual windows recessed lighting multiple skylights mirrored closet doors wood and luxury vinyl floors. Nice sized view lot for family gatherings and entertaining. Such a rare and wonderful opportunity!,USD,2535.0,2535.0,sqft,3.0,5.0,2535.0,1,2.0,1,Two Story,0,0,0,1,SINGLE_FAMILY,Contra Costa County
